run_id,model,dataset,variant,seed,group,eligible_users,relevant_items,recall_at_10,recall_at_20,ndcg_at_10,ndcg_at_20
TaxPro-CL|amazon-book|TaxPro-CL-main|seed42,TaxPro-CL,amazon-book,TaxPro-CL-main,42,near_cold,13238,2363,0.0010009064813415924,0.0035881553104698594,0.00037178490551428893,0.0010373721516020965
TaxPro-CL|amazon-book|TaxPro-CL-main|seed42,TaxPro-CL,amazon-book,TaxPro-CL-main,42,long_tail,36609,24260,0.002479673821686882,0.005948656684138013,0.0014374876608273727,0.0025546176530864355
TaxPro-CL|amazon-book|TaxPro-CL-main|seed42,TaxPro-CL,amazon-book,TaxPro-CL-main,42,overall,,,0.02698369749028318,0.04604385096650797,0.02861833319292283,0.03606458118235713
TaxPro-CL|amazon-book|TaxPro-CL-main|seed42,TaxPro-CL,amazon-book,TaxPro-CL-main,42,warm,52123,55186,0.03506041155787278,0.05906308783771617,0.032007577653984855,0.041205405220795494
TaxPro-CL|amazon-book|TaxPro-CL-main|seed0,TaxPro-CL,amazon-book,TaxPro-CL-main,0,near_cold,13238,2363,0.0009064813415923856,0.0038588407110842528,0.00029016277129989825,0.001057614288013355
TaxPro-CL|amazon-book|TaxPro-CL-main|seed0,TaxPro-CL,amazon-book,TaxPro-CL-main,0,long_tail,36609,24260,0.002479861305559904,0.005886624513009502,0.0013400404545257304,0.0024520594854396775
TaxPro-CL|amazon-book|TaxPro-CL-main|seed0,TaxPro-CL,amazon-book,TaxPro-CL-main,0,overall,,,0.02681794430938003,0.045462699844028925,0.02822426597895708,0.035504827755616745
TaxPro-CL|amazon-book|TaxPro-CL-main|seed0,TaxPro-CL,amazon-book,TaxPro-CL-main,0,warm,52123,55186,0.03485790858905674,0.05827482604606429,0.03160638510143579,0.04057962125099119
TaxPro-CL|amazon-book|TaxPro-CL-main|seed1,TaxPro-CL,amazon-book,TaxPro-CL-main,1,near_cold,13238,2363,0.0006609759782444479,0.003758120562018432,0.00024449828008661466,0.0010542401542657897
TaxPro-CL|amazon-book|TaxPro-CL-main|seed1,TaxPro-CL,amazon-book,TaxPro-CL-main,1,long_tail,36609,24260,0.0023986634615168582,0.005763519578204375,0.0013589775839046906,0.002441274736651898
TaxPro-CL|amazon-book|TaxPro-CL-main|seed1,TaxPro-CL,amazon-book,TaxPro-CL-main,1,overall,,,0.02680401272993278,0.04566208065346439,0.028406238481052642,0.035782016541091394
TaxPro-CL|amazon-book|TaxPro-CL-main|seed1,TaxPro-CL,amazon-book,TaxPro-CL-main,1,warm,52123,55186,0.0348978294960163,0.05870051790910751,0.031822598716855895,0.04094978143113886
TaxPro-CL|yelp2018|TaxPro-CL-main|seed42,TaxPro-CL,yelp2018,TaxPro-CL-main,42,near_cold,5217,976,0.0,0.00038336208548974505,0.0,9.546836273793978e-05
TaxPro-CL|yelp2018|TaxPro-CL-main|seed42,TaxPro-CL,yelp2018,TaxPro-CL-main,42,long_tail,18907,9911,0.0009909035809807076,0.0032321941269370298,0.00044867096163474706,0.0011472207428339005
TaxPro-CL|yelp2018|TaxPro-CL-main|seed42,TaxPro-CL,yelp2018,TaxPro-CL-main,42,overall,,,0.03944340041233798,0.0669816128598975,0.04531409186507788,0.055272440583535865
TaxPro-CL|yelp2018|TaxPro-CL-main|seed42,TaxPro-CL,yelp2018,TaxPro-CL-main,42,warm,31661,25495,0.04602782930751859,0.07806942822478619,0.04806073148740302,0.05988998690777516
TaxPro-CL|yelp2018|TaxPro-CL-main|seed0,TaxPro-CL,yelp2018,TaxPro-CL-main,0,near_cold,5217,976,0.0,0.0002875215641173088,0.0,7.365265784607562e-05
TaxPro-CL|yelp2018|TaxPro-CL-main|seed0,TaxPro-CL,yelp2018,TaxPro-CL-main,0,long_tail,18907,9911,0.0008547736014065008,0.003360482222575006,0.00041726543201855445,0.001185041080700808
TaxPro-CL|yelp2018|TaxPro-CL-main|seed0,TaxPro-CL,yelp2018,TaxPro-CL-main,0,overall,,,0.03949028152036981,0.06663138093519028,0.045486186896049816,0.05521730330917585
TaxPro-CL|yelp2018|TaxPro-CL-main|seed0,TaxPro-CL,yelp2018,TaxPro-CL-main,0,warm,31661,25495,0.04608242190458221,0.077640768777895,0.04822494785587275,0.05979985399341645
TaxPro-CL|yelp2018|TaxPro-CL-main|seed1,TaxPro-CL,yelp2018,TaxPro-CL-main,1,near_cold,5217,976,0.0,0.00038336208548974505,0.0,9.776703488507786e-05
TaxPro-CL|yelp2018|TaxPro-CL-main|seed1,TaxPro-CL,yelp2018,TaxPro-CL-main,1,long_tail,18907,9911,0.000894441449293527,0.0034501422437418767,0.00043070185667961773,0.001203300513746532
TaxPro-CL|yelp2018|TaxPro-CL-main|seed1,TaxPro-CL,yelp2018,TaxPro-CL-main,1,overall,,,0.03952379739471012,0.06734405712936886,0.045506556646459806,0.05548603282215525
TaxPro-CL|yelp2018|TaxPro-CL-main|seed1,TaxPro-CL,yelp2018,TaxPro-CL-main,1,warm,31661,25495,0.04622899167998094,0.07844928323187196,0.0483066867291236,0.060137728115348184
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed42,TaxPro-CL,musical-instruments,TaxPro-CL-main,42,near_cold,4728,2942,0.0040891144952058655,0.008319232938522278,0.0019852669671344336,0.0030741288605772776
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed42,TaxPro-CL,musical-instruments,TaxPro-CL-main,42,long_tail,8816,5316,0.009799552761213378,0.016637498919713074,0.004719487819412802,0.006524218408900416
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed42,TaxPro-CL,musical-instruments,TaxPro-CL-main,42,overall,,,0.1449346022578356,0.1751618497997063,0.1194592487746295,0.12778576491578025
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed42,TaxPro-CL,musical-instruments,TaxPro-CL-main,42,warm,19545,3040,0.19034086593827326,0.2287950533755762,0.15546262616282386,0.16592458944652783
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed0,TaxPro-CL,musical-instruments,TaxPro-CL-main,0,near_cold,4728,2942,0.004864636209813875,0.008372109419063732,0.0024396718717488775,0.0033465786213828586
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed0,TaxPro-CL,musical-instruments,TaxPro-CL-main,0,long_tail,8816,5316,0.009487619911848587,0.016826549131449313,0.004841194162375122,0.006752439658219714
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed0,TaxPro-CL,musical-instruments,TaxPro-CL-main,0,overall,,,0.1472601019473021,0.17552406659591197,0.12073358994570223,0.1285603573734736
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed0,TaxPro-CL,musical-instruments,TaxPro-CL-main,0,warm,19545,3040,0.19342542651061528,0.22925825858289442,0.15714203792449916,0.1669224800465358
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed1,TaxPro-CL,musical-instruments,TaxPro-CL-main,1,near_cold,4728,2942,0.0039304850535815,0.008689368302312464,0.002075377160490132,0.003295274263636433
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed1,TaxPro-CL,musical-instruments,TaxPro-CL-main,1,long_tail,8816,5316,0.009157592256503326,0.016096815314147434,0.004665225633768654,0.006496121688824836
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed1,TaxPro-CL,musical-instruments,TaxPro-CL-main,1,overall,,,0.14739751148105493,0.17748121129331948,0.12070798322199604,0.12901094314562656
TaxPro-CL|musical-instruments|TaxPro-CL-main|seed1,TaxPro-CL,musical-instruments,TaxPro-CL-main,1,warm,19545,3040,0.19345094508058588,0.23211409147851383,0.15699792691607653,0.1674820963705467
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed42,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,42,near_cold,9765,6233,0.005120327700972862,0.01063321385902031,0.002246479289200374,0.003644097969473898
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed42,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,42,long_tail,17815,11261,0.012464839242835314,0.021672435837465302,0.0059828184912206804,0.008379979515881196
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed42,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,42,overall,,,0.1336912087931623,0.1679427090961947,0.09921117864630072,0.10873423160588783
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed42,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,42,warm,35000,6516,0.17994619095315614,0.22445099789597903,0.13215832644141037,0.14432255476647673
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed0,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,0,near_cold,9765,6233,0.005120327700972862,0.011981566820276499,0.002328755760984606,0.0040404067151341115
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed0,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,0,long_tail,17815,11261,0.012255589858733278,0.022604971976288277,0.006072754868978761,0.008754769009561528
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed0,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,0,overall,,,0.13409694238657527,0.16948844271376198,0.0996646142785091,0.10953840021726963
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed0,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,0,warm,35000,6516,0.18069552388213175,0.2262033864877791,0.13284443134788562,0.14534998334746532
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed1,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,1,near_cold,9765,6233,0.004608294930875576,0.011256187062638675,0.002133037713667066,0.003832048744114398
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed1,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,1,long_tail,17815,11261,0.0117023731562042,0.022058346586833814,0.005676360473265571,0.008381297216188197
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed1,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,1,overall,,,0.13198486828031575,0.16738080725275678,0.09820664230616509,0.10806551380507415
TaxPro-CL|arts-crafts-and-sewing|TaxPro-CL-main|seed1,TaxPro-CL,arts-crafts-and-sewing,TaxPro-CL-main,1,warm,35000,6516,0.17770478907975795,0.22323801063723037,0.13077958654198335,0.14325111941847612
SimGCL|amazon-book|SimGCL-main|seed42,SimGCL,amazon-book,SimGCL-main,42,near_cold,13238,2363,0.00041547061489651004,0.0017751926272850883,0.0001539672545675661,0.0005015289388308608
SimGCL|amazon-book|SimGCL-main|seed42,SimGCL,amazon-book,SimGCL-main,42,long_tail,36609,24260,0.001969558238508498,0.004644517142845855,0.0011282078947769077,0.0020111388900424213
SimGCL|amazon-book|SimGCL-main|seed42,SimGCL,amazon-book,SimGCL-main,42,overall,,,0.02731657344390918,0.046554088276318094,0.02886270148761837,0.03638215317620817
SimGCL|amazon-book|SimGCL-main|seed42,SimGCL,amazon-book,SimGCL-main,42,warm,52123,55186,0.0354131488293839,0.05994899142694478,0.03231207410781859,0.041690876315654844
SimGCL|amazon-book|SimGCL-main|seed0,SimGCL,amazon-book,SimGCL-main,0,near_cold,13238,2363,0.0006420909502946065,0.003002719444024777,0.0002346938674954177,0.0008280544200358303
SimGCL|amazon-book|SimGCL-main|seed0,SimGCL,amazon-book,SimGCL-main,0,long_tail,36609,24260,0.0021542800818388796,0.005002722284301018,0.0012478489486162088,0.002184919255129723
SimGCL|amazon-book|SimGCL-main|seed0,SimGCL,amazon-book,SimGCL-main,0,overall,,,0.027947814657646317,0.047341445894937065,0.029663107355906295,0.037244828397237306
SimGCL|amazon-book|SimGCL-main|seed0,SimGCL,amazon-book,SimGCL-main,0,warm,52123,55186,0.03629617560596478,0.06103895667215089,0.03317726565944034,0.04262798251958872
SimGCL|amazon-book|SimGCL-main|seed1,SimGCL,amazon-book,SimGCL-main,1,near_cold,13238,2363,0.0007931711738933374,0.0031537996676235082,0.0002658353947473979,0.0008676970162899031
SimGCL|amazon-book|SimGCL-main|seed1,SimGCL,amazon-book,SimGCL-main,1,long_tail,36609,24260,0.0022956704868939575,0.005460216143040045,0.0012752364692746347,0.002292358352218375
SimGCL|amazon-book|SimGCL-main|seed1,SimGCL,amazon-book,SimGCL-main,1,overall,,,0.02781401074439272,0.047604172329670805,0.02944828215902239,0.037177944298026074
SimGCL|amazon-book|SimGCL-main|seed1,SimGCL,amazon-book,SimGCL-main,1,warm,52123,55186,0.03618081787544046,0.06126691704704663,0.032953618681875435,0.04253917677990783
SimGCL|yelp2018|SimGCL-main|seed42,SimGCL,yelp2018,SimGCL-main,42,near_cold,5217,976,0.0,0.00019168104274487253,0.0,4.6894871021319926e-05
SimGCL|yelp2018|SimGCL-main|seed42,SimGCL,yelp2018,SimGCL-main,42,long_tail,18907,9911,0.0005906731444891916,0.0026384547856438713,0.0003037010072184811,0.000929361550397735
SimGCL|yelp2018|SimGCL-main|seed42,SimGCL,yelp2018,SimGCL-main,42,overall,,,0.04186213102589137,0.07020089277562083,0.04795542269216263,0.05815127389549513
SimGCL|yelp2018|SimGCL-main|seed42,SimGCL,yelp2018,SimGCL-main,42,warm,31661,25495,0.04889587678342981,0.08190840404862026,0.05090640030677347,0.06305676490066131
SimGCL|yelp2018|SimGCL-main|seed0,SimGCL,yelp2018,SimGCL-main,0,near_cold,5217,976,0.0,0.00025557472365983003,0.0,6.76113848710614e-05
SimGCL|yelp2018|SimGCL-main|seed0,SimGCL,yelp2018,SimGCL-main,0,long_tail,18907,9911,0.0006848055771734832,0.002935824459365383,0.0003504684753768235,0.001007313975663634
SimGCL|yelp2018|SimGCL-main|seed0,SimGCL,yelp2018,SimGCL-main,0,overall,,,0.04166913670726663,0.07094375986612601,0.047788745484733955,0.05840521382259942
SimGCL|yelp2018|SimGCL-main|seed0,SimGCL,yelp2018,SimGCL-main,0,warm,31661,25495,0.04877857795091259,0.08286221493568427,0.050762930847951776,0.06337895346130158
SimGCL|yelp2018|SimGCL-main|seed1,SimGCL,yelp2018,SimGCL-main,1,near_cold,5217,976,0.0,6.389368091495751e-05,0.0,2.2006765329886494e-05
SimGCL|yelp2018|SimGCL-main|seed1,SimGCL,yelp2018,SimGCL-main,1,long_tail,18907,9911,0.0007586003672109346,0.002866387498899481,0.0003604798145697768,0.0010243547995378121
SimGCL|yelp2018|SimGCL-main|seed1,SimGCL,yelp2018,SimGCL-main,1,overall,,,0.041596955856841054,0.07114996244717685,0.04771388362573144,0.05842165178999522
SimGCL|yelp2018|SimGCL-main|seed1,SimGCL,yelp2018,SimGCL-main,1,warm,31661,25495,0.04861093926567882,0.08303990425409226,0.050642297753933085,0.063351341065401
SimGCL|musical-instruments|SimGCL-main|seed42,SimGCL,musical-instruments,SimGCL-main,42,near_cold,4728,2942,0.004706006768189509,0.008125352509870275,0.002454447671411314,0.0033141442000356874
SimGCL|musical-instruments|SimGCL-main|seed42,SimGCL,musical-instruments,SimGCL-main,42,long_tail,8816,5316,0.008047867513611615,0.014730792498487593,0.0040551372890556174,0.005810934829335569
SimGCL|musical-instruments|SimGCL-main|seed42,SimGCL,musical-instruments,SimGCL-main,42,overall,,,0.15148833320015262,0.18048894574751015,0.1257370331699791,0.13377781482651538
SimGCL|musical-instruments|SimGCL-main|seed42,SimGCL,musical-instruments,SimGCL-main,42,warm,19545,3040,0.2000958873138462,0.23729161503912088,0.1644866583984644,0.17464794939692338
SimGCL|musical-instruments|SimGCL-main|seed0,SimGCL,musical-instruments,SimGCL-main,0,near_cold,4728,2942,0.0031197123519458546,0.007949097574732092,0.0015795379365457593,0.002844132996937058
SimGCL|musical-instruments|SimGCL-main|seed0,SimGCL,musical-instruments,SimGCL-main,0,long_tail,8816,5316,0.007329476709013915,0.014220356926799755,0.003680123884483481,0.0055157676913645155
SimGCL|musical-instruments|SimGCL-main|seed0,SimGCL,musical-instruments,SimGCL-main,0,overall,,,0.15095527187771618,0.18114042452519444,0.12502046861145105,0.13335722074295311
SimGCL|musical-instruments|SimGCL-main|seed0,SimGCL,musical-instruments,SimGCL-main,0,warm,19545,3040,0.19993783212893013,0.2385537054685177,0.1636350187117408,0.17413756351564824
SimGCL|musical-instruments|SimGCL-main|seed1,SimGCL,musical-instruments,SimGCL-main,1,near_cold,4728,2942,0.004670755781161873,0.009182882120699381,0.0023484828209813092,0.0034681331837605883
SimGCL|musical-instruments|SimGCL-main|seed1,SimGCL,musical-instruments,SimGCL-main,1,long_tail,8816,5316,0.008558303085299456,0.015742211131276464,0.004050629965787207,0.005899279714429386
SimGCL|musical-instruments|SimGCL-main|seed1,SimGCL,musical-instruments,SimGCL-main,1,overall,,,0.15192852637004536,0.18153306781034867,0.12533854859313567,0.13350286442829024
SimGCL|musical-instruments|SimGCL-main|seed1,SimGCL,musical-instruments,SimGCL-main,1,warm,19545,3040,0.199940960707209,0.2376863302292474,0.1636921767787376,0.1739598953396365
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed42,SimGCL,arts-crafts-and-sewing,SimGCL-main,42,near_cold,9765,6233,0.004557091653865848,0.011076975593104624,0.0023700170749690716,0.004032798731156233
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed42,SimGCL,arts-crafts-and-sewing,SimGCL-main,42,long_tail,17815,11261,0.011243957963014937,0.02048109093015071,0.0055034979183335485,0.007906247027178084
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed42,SimGCL,arts-crafts-and-sewing,SimGCL-main,42,overall,,,0.14052560685750384,0.17575558730290902,0.10597991984521979,0.11581517988871184
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed42,SimGCL,arts-crafts-and-sewing,SimGCL-main,42,warm,35000,6516,0.1905190004965533,0.23630536129946797,0.1419153769593671,0.15450471317362505
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed0,SimGCL,arts-crafts-and-sewing,SimGCL-main,0,near_cold,9765,6233,0.004352278545826933,0.00955794504181601,0.002103100025614404,0.003417175540597218
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed0,SimGCL,arts-crafts-and-sewing,SimGCL-main,0,long_tail,17815,11261,0.010088475468772971,0.019512805777189723,0.004950488415753383,0.007414292863916223
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed0,SimGCL,arts-crafts-and-sewing,SimGCL-main,0,overall,,,0.13874632294846667,0.1739398810915386,0.10546508010580455,0.11528980872465629
SimGCL|arts-crafts-and-sewing|SimGCL-main|seed0,SimGCL,arts-crafts-and-sewing,SimGCL-main,0,warm,35000,6516,0.1887826327361014,0.2344770634135854,0.14154826651523697,0.15411268329074157
